Name,Age,Address,Phone, Email, URL
Bhu,30,12B,807,singhbhushan@cse.ittb.ac.in,https://nourl
Bhus,30,12C,8087446,singhbhushan1@cse.ittb.ac.in,https://nourl
Bhuhan,30,12D,75983456,singhbhushan2@cse.ittb.ac.in,https://nourl
Bhu,30,12E,80787426,singhbhushan3@cse.ittb.ac.in,https://nourl
Bhus,30,12F,8087156,singhbhushan4@cse.ittb.ac.in,https://nourl
Bhuhan,30,12G,75917456,singhbhushan5@cse.ittb.ac.in,https://nourl
Ahu,27,12B,80782356,singhbhushan6@cse.ittb.ac.in,https://nourl
Ahus,28,12C,80982446,singhbhushan7@cse.ittb.ac.in,https://nourl
Ahuhan,30,12O,15983456,singhbhushan72@cse.ittb.ac.in,https://nourl
Ahu,26,12G,80717426,singhbhushan37@cse.ittb.ac.in,https://nourl
Ahus,30,12I,80187156,singhbhushan84@cse.ittb.ac.in,https://nourl
Ahuhan,30,12P,71917456,singhbhushan95@cse.ittb.ac.in,https://nourl
